index,title,original_language,release_date,popularity,vote_average,vote_count
7608,Inconceivable,en,30-06-2017,14.856,5.6,305
7609,"OSS 117: Cairo, Nest of Spies",fr,19-04-2006,14.856,7.3,1563
7610,8MM 2,en,22-11-2005,14.856,4.8,108
7611,K-PAX,en,22-10-2001,14.856,7.2,2146
7612,Last Christmas,en,07-11-2019,14.854,7.2,2125
7613,Iceman,cn,17-04-2014,14.854,5.5,176
7614,Stepmother's Purpose,ko,19-03-2020,14.853,0,0
7615,Case Closed: The Crimson Love Letter,ja,15-04-2017,14.853,6.5,85
7616,When a Man Loves a Woman,en,29-04-1994,14.852,6.4,301
7617,The Personal History of David Copperfield,en,07-11-2019,14.849,6.5,407
7618,The Turning,en,23-01-2020,14.847,5.8,894
7619,Nick and Norah's Infinite Playlist,en,03-10-2008,14.847,6.4,1098
7620,The Big Trip,ru,27-04-2019,14.845,7,60
7621,Creepshow,en,12-11-1982,14.841,6.9,878
7622,Challenge Game,ko,04-08-2016,14.84,6.7,6
7623,Along for the Ride,en,06-05-2022,14.838,6.7,296
7624,Black Sheep,en,29-03-2007,14.838,5.7,672
7625,Effie Gray,en,08-03-2014,14.837,5.9,171
7626,Dorian Gray,en,09-09-2009,14.837,6,1955
7627,Hamlet,en,25-12-1996,14.836,7.4,418
7628,Sherlock: The Abominable Bride,en,01-01-2016,14.832,7.9,2132
7629,Robbing Mussolini,it,26-10-2022,14.83,5.6,212
7630,Spoiled Brats,fr,15-09-2021,14.83,6.2,443
7631,Crayon Shin-chan: Super-Dimension! The Storm Called My Bride,ja,17-04-2010,14.828,8.1,47
7632,I Don't Kiss,fr,20-11-1991,14.827,6.3,37
7633,It's a Wonderful Binge,en,09-12-2022,14.825,5,94
7634,Cleveland Abduction,en,02-05-2015,14.822,7.2,322
7635,What's Going On With My Sister,ja,17-05-2014,14.822,5.8,22
7636,The Snow Queen,ru,11-10-2012,14.822,5.7,147
7637,Amor Bandido,es,18-03-2021,14.821,6.7,104
7638,Scared Shrekless,en,28-10-2010,14.821,6.6,400
7639,Betty Blue,fr,09-04-1986,14.82,7.2,361
7640,Slap Shot,en,25-02-1977,14.813,6.8,315
7641,The Land Before Time XIV: Journey of the Brave,en,02-02-2016,14.812,6.8,103
7642,Zambezia,en,05-06-2012,14.812,6,250
7643,Death Note,en,25-08-2017,14.811,4.2,3720
7644,Pokémon the Movie: White - Victini and Zekrom,ja,16-07-2011,14.811,6.6,163
7645,Evita,en,14-12-1996,14.81,6.1,427
7646,The Furies,en,12-04-2019,14.808,5.5,148
7647,Sweet Home Alabama,en,26-09-2002,14.808,6.4,1376
7648,Man of Tai Chi,en,04-07-2013,14.807,6,814
7649,The Last Picture Show,en,03-10-1971,14.804,7.6,579
7650,Scooby-Doo! and the Reluctant Werewolf,en,13-11-1988,14.802,7.3,285
7651,The Eye,en,01-02-2008,14.802,5.8,943
7652,The Mad Women's Ball,fr,12-09-2021,14.801,7.1,257
7653,Solaris,en,27-11-2002,14.801,5.9,1169
7654,Fearless Hyena,cn,17-02-1979,14.8,6.6,136
7655,The Butler,en,16-08-2013,14.799,7.3,2706
7656,2046,zh,20-05-2004,14.799,7.2,766
7657,IO,en,18-01-2019,14.795,4.9,1245
7658,Look Who's Back,de,08-10-2015,14.795,6.8,1635
7659,Unlawful Entry,en,26-06-1992,14.795,6.1,255
7660,Kuch Kuch Hota Hai,hi,16-10-1998,14.795,7.6,339
7661,The Professor,en,17-05-2018,14.794,6.9,989
7662,Homeward Bound: The Incredible Journey,en,03-02-1993,14.794,6.9,916
7663,Addams Family Reunion,en,24-12-1998,14.793,4.8,251
7664,Loving Pablo,es,12-10-2017,14.791,6.3,944
7665,Stalingrad,de,20-01-1993,14.791,7.3,482
7666,Monster's Ball,en,07-06-2001,14.791,6.8,864
7667,Wicked City,ja,19-04-1987,14.79,6.7,176
7668,History of the World: Part I,en,12-06-1981,14.79,6.8,696
7669,The World of Adultery,ko,10-07-2020,14.785,7.8,4
7670,Aniara,sv,01-02-2019,14.784,6,290
7671,Wishmaster 2: Evil Never Dies,en,12-03-1999,14.784,5.4,218
7672,The Music of Silence,it,18-09-2017,14.782,7.2,80
7673,Black Box,en,06-10-2020,14.78,6.5,464
7674,Heist,en,09-11-2001,14.78,6.3,471
7675,V/H/S,en,28-07-2012,14.778,6.1,1354
7676,Tale of Tales,it,14-05-2015,14.775,6.4,1530
7677,This Is 40,en,20-12-2012,14.774,5.9,1996
7678,Scooby-Doo! and the Curse of the 13th Ghost,en,05-02-2019,14.773,8,226
7679,Prom Night,en,10-04-2008,14.772,5,652
7680,Pop in Q,ja,23-12-2016,14.769,5.3,21
7681,The Damned,it,13-10-1969,14.768,7.4,181
7682,A Turtle's Tale: Sammy's Adventures,en,03-08-2010,14.767,6,589
7683,Halo: Nightfall,en,05-02-2014,14.766,7,143
7684,Edge of Darkness,en,28-01-2010,14.764,6.3,1402
7685,¿Y cómo es él?,es,07-04-2022,14.762,7.5,236
7686,Rock the Boat,en,17-08-2023,14.76,0,0
7687,Defying Death: Surviving Jaws,en,16-08-2023,14.76,0,0
7688,Eklavya,bn,15-08-2023,14.76,0,0
7689,Millennial Hunter,en,13-08-2023,14.76,0,0
7690,Ayreon: The Making of The Human Equation,en,25-05-2004,14.76,0,0
7691,Braddock: Missing in Action III,en,22-01-1988,14.76,5.8,214
7692,Lemming,fr,11-05-2005,14.76,6.7,108
7693,Detective Conan: Sunflowers of Inferno,ja,18-04-2015,14.759,6,102
7694,Lego DC Batman: Family Matters,en,21-07-2019,14.756,7,120
7695,Paris Je T'aime,fr,21-06-2006,14.756,6.8,670
7696,Strange Way of Life,es,26-05-2023,14.754,5.9,33
7697,Kingsman: The Blue Blood,en,,14.754,0,0
7698,The Best Years of Our Lives,en,25-12-1946,14.754,7.8,554
7699,Detective Conan: Quarter of Silence,ja,16-04-2011,14.753,7,104
7700,Dragon Rider,en,15-10-2020,14.752,7.2,141
7701,The Whole Ten Yards,en,07-04-2004,14.752,5.7,854
7702,Model for Murder: The Centerfold Killer,en,21-06-2016,14.751,5.4,9
7703,Babylon 5: Thirdspace,en,17-07-1998,14.75,6.7,108
7704,Doraemon: Nobita and the Spiral City,ja,08-03-1997,14.749,7.2,21
7705,Argo,en,11-10-2012,14.747,7.3,7690
7706,The Relic,en,10-01-1997,14.747,5.9,462
7707,Amarcord,it,18-12-1973,14.747,7.9,984
7708,Anna Nicole Smith: You Don't Know Me,en,16-05-2023,14.745,6.4,41
7709,Motherless Brooklyn,en,31-10-2019,14.745,6.7,1291
7710,Ichi the Killer,ja,22-12-2001,14.739,7,841
7711,The Con Is On,en,04-05-2018,14.736,4,148
7712,Vantage Point,en,01-02-2008,14.736,6.4,1860
7713,St. Elmo's Fire,en,28-06-1985,14.735,6.2,465
7714,The Rocker,en,20-08-2008,14.735,6,534
7715,Senso,it,02-09-1954,14.734,7.3,192
7716,The Day of the Triffids,en,05-07-1962,14.734,6.1,152
7717,Little,en,04-04-2019,14.732,6.8,657
7718,Following,en,02-04-1999,14.732,7.1,1373
7719,We Summon the Darkness,en,28-08-2020,14.731,5.4,186
7720,Bill & Ted Face the Music,en,27-08-2020,14.73,5.9,792
7721,Sexology,en,22-12-2016,14.729,4.6,8
7722,Blow-Up,en,18-12-1966,14.726,7.4,1097
7723,House of the Witch,en,07-10-2017,14.722,4.7,123
7724,Il Sorpasso,it,05-12-1962,14.721,8.2,635
7725,The Mummy,en,01-01-1932,14.72,6.8,534
7726,Speed Zone,en,21-04-1989,14.72,4.5,69
7727,Cinderella,it,30-10-2011,14.719,6.8,71
7728,Love on the Sidelines,en,16-01-2016,14.718,6.3,95
7729,D3: The Mighty Ducks,en,04-10-1996,14.718,6,401
7730,Angel of Mine,en,15-08-2019,14.716,6.2,242
7731,Headshot,id,24-09-2016,14.715,6.4,393
7732,Detective Knight: Redemption,en,09-12-2022,14.712,5.6,36
7733,The Legacy of the Bones,es,05-12-2019,14.711,6.6,373
7734,The Messenger,pt,14-08-2023,14.71,0,0
7735,Tayta Shanti,es,14-08-2023,14.71,0,0
7736,Silent Night,en,03-12-2021,14.71,6.1,371
7737,The Prodigy,en,06-02-2019,14.708,6.1,897
7738,2-Headed Shark Attack,en,26-06-2012,14.708,4.5,245
7739,All the President's Men,en,18-01-1976,14.707,7.7,1595
7740,Born Free,en,20-04-1966,14.705,6.7,107
7741,A Brighter Summer Day,zh,27-07-1991,14.704,8.3,263
7742,Johnny Mnemonic,en,26-05-1995,14.704,5.8,1196
7743,Girl with a Pearl Earring,en,12-12-2003,14.702,6.6,1250
7744,Time Adventure: 5 Seconds Til Climax,ja,20-12-1986,14.701,6.9,6
7745,Delta Force 2: The Colombian Connection,en,24-08-1990,14.7,5.4,162
7746,Room(h)ates,fr,19-04-2017,14.699,5.3,354
7747,Maximum Risk,en,13-09-1996,14.699,5.7,416
7748,Disconnect: The Wedding Planner,fr,13-01-2023,14.696,6.7,8
7749,Support Your Local Sheriff!,en,26-03-1969,14.696,6.9,152
7750,Best of the Best,en,10-11-1989,14.695,6.5,245
7751,My Lucky Stars,cn,10-02-1985,14.695,6.3,158
7752,Redbad,nl,28-06-2018,14.692,6.3,165
7753,Ruby & Quentin,fr,22-10-2003,14.69,6.7,721
7754,Cutthroat Island,en,22-12-1995,14.69,5.8,479
7755,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,ja,03-03-2007,14.689,6.8,123
7756,Initial D,cn,12-05-2005,14.689,6.7,230
7757,Exam,en,19-06-2009,14.688,6.7,1842
7758,Hellboy Animated: Sword of Storms,en,28-10-2006,14.687,6.2,105
7759,The Sons of Katie Elder,en,23-06-1965,14.687,7.1,243
7760,Goodnight Mommy,de,07-10-2014,14.686,6.7,1428
7761,Home Sweet Hell,en,13-03-2015,14.684,5.4,412
7762,See How They Run,en,09-09-2022,14.683,6.4,822
7763,Bushwick,en,25-08-2017,14.682,5.1,424
7764,Welcome Home Roscoe Jenkins,en,08-02-2008,14.682,6,254
7765,Copycat,en,03-05-1995,14.682,6.5,829
7766,Memórias da Chuva,pt,14-08-2023,14.681,0,0
7767,Pat Garrett & Billy the Kid,en,23-05-1973,14.681,7.2,350
7768,Lincessa. Los silencios del bosque,es,21-04-2023,14.679,6,2
7769,Singularity,en,24-11-2017,14.679,3.7,181
7770,Shanghai Fortress,zh,09-08-2019,14.676,5.4,110
7771,Anatomy of a Fall,fr,23-08-2023,14.675,0,0
7772,The 12th Man,no,25-12-2017,14.675,7.3,471
7773,Everybody Knows,es,09-05-2018,14.675,6.5,878
7774,Daybreakers,en,01-10-2009,14.675,6.3,1785
7775,Down,en,06-09-2001,14.675,5.2,138
7776,Teen Beach 2,en,26-06-2015,14.673,6.7,540
7777,Wer,en,16-11-2013,14.673,6.4,363
7778,Gully,en,04-06-2021,14.672,5.6,46
7779,Babylon 5: The Gathering,en,12-12-1993,14.672,6.4,140
7780,The Magdalene Sisters,en,30-08-2002,14.672,7.4,359
7781,Deadly Pickup,en,26-07-2016,14.67,5.6,17
7782,The Eagle Has Landed,en,24-12-1976,14.67,6.6,279
7783,Coffee & Kareem,en,03-04-2020,14.667,5.5,371
7784,Come Play,en,28-10-2020,14.664,6.4,555
7785,The Midnight Man,en,30-09-2016,14.662,5.8,387
7786,Imperium,en,19-08-2016,14.662,6.5,1223
7787,Walk the Line,en,13-09-2005,14.662,7.5,2605
7788,1911,zh,03-07-2011,14.658,5.7,138
7789,The To Do List,en,24-07-2013,14.657,5.7,936
7790,The Death of Superman,en,24-07-2018,14.655,7.5,676
7791,Breaking Surface,sv,14-02-2020,14.654,6.8,356
7792,Out of the Furnace,en,06-12-2013,14.654,6.6,1769
7793,The Stepford Wives,en,10-06-2004,14.653,5.7,1188
7794,Late Spring,ja,13-09-1949,14.652,8,333
7795,The Picture of Dorian Gray,en,01-03-1945,14.652,7,224
7796,Premonition,en,08-02-2007,14.652,6.3,1403
7797,Joe Versus the Volcano,en,09-03-1990,14.652,5.7,465
7798,The Post,en,22-12-2017,14.651,7,4235
7799,The Cable Guy,en,10-06-1996,14.651,6,2157
7800,Scooby-Doo! Shaggy's Showdown,en,14-02-2017,14.647,7.9,162
7801,Dead Reckoning,en,13-11-2020,14.645,6.1,35
7802,Roma,es,25-08-2018,14.644,7.7,3669
7803,Cave,no,02-09-2016,14.643,4.3,83
7804,Herbie Rides Again,en,12-02-1974,14.643,6.1,362
7805,Dark Angel,en,26-01-1990,14.642,6,252
7806,The Wonder Weeks,nl,09-06-2023,14.639,6.1,26
7807,Lansky,en,24-06-2021,14.639,6.1,106
7808,Tom and Jerry: Willy Wonka and the Chocolate Factory,en,28-06-2017,14.637,6.6,110
7809,Lassie Come Home,de,20-02-2020,14.63,6.6,90
7810,13 Sins,en,11-04-2014,14.628,6.3,980
7811,Pumpkinhead,en,09-06-1988,14.628,6.3,391
7812,Free Willy 3: The Rescue,en,08-08-1997,14.628,6.2,305
7813,Bleach,ja,20-07-2018,14.623,6.6,501
7814,The Paperboy,en,14-09-2012,14.623,5.5,673
7815,Scooby-Doo! Abracadabra-Doo,en,16-02-2010,14.622,7.8,221
7816,69 + 1,tl,03-09-2021,14.621,7.6,17
7817,Scooby-Doo! and the Legend of the Vampire,en,04-03-2003,14.621,7.2,271
7818,Miley Cyrus – Endless Summer Vacation (Backyard Sessions),en,10-03-2023,14.62,8.5,32
7819,Winnie the Pooh: A Very Merry Pooh Year,en,12-11-2002,14.62,6.8,161
7820,The Last Survivors,en,12-06-2014,14.616,6.2,191
7821,Nirvana Island: The Last 47 Days,ja,15-10-2016,14.615,5.4,5
7822,"Don't Worry, He Won't Get Far on Foot",en,04-04-2018,14.61,6.7,603
7823,The Presence,en,04-08-2010,14.609,4.4,64
7824,Taps,en,20-12-1981,14.608,6.8,239
7825,Good Mom's Friend 3,ko,28-10-2019,14.605,5.2,3
7826,Aadu,ml,06-02-2015,14.604,7.1,30
7827,Vengeance: A Love Story,en,16-03-2017,14.602,5.6,256
7828,Hick,en,10-09-2011,14.601,5.7,394
7829,Kes,en,18-11-1969,14.601,7.5,345
7830,EXIT,ko,31-07-2019,14.596,7.6,200
7831,Black Book,nl,14-09-2006,14.595,7.5,1017
7832,Twisted Neighbor,en,17-08-2023,14.594,0,0
7833,BTS World Tour: Love Yourself in Seoul,ko,26-01-2019,14.594,8.3,413
7834,My Sister-in-law's Job,ko,31-08-2017,14.594,5,5
7835,The Secret Life of Pets,en,18-06-2016,14.593,6.3,7609
7836,Sheena,en,17-08-1984,14.593,5.7,126
7837,The Ewok Adventure,en,06-02-1985,14.592,5.9,304
7838,Green Street Hooligans,en,09-09-2005,14.591,7.2,2126
7839,An American Werewolf in Paris,en,29-05-1997,14.589,5.9,602
7840,Twisted Neighbor,en,17-08-2023,14.594,0,0
7841,BTS World Tour: Love Yourself in Seoul,ko,26-01-2019,14.594,8.3,413
7842,My Sister-in-law's Job,ko,31-08-2017,14.594,5,5
7843,The Secret Life of Pets,en,18-06-2016,14.593,6.3,7609
7844,Sheena,en,17-08-1984,14.593,5.7,126
7845,The Ewok Adventure,en,06-02-1985,14.592,5.9,304
7846,Green Street Hooligans,en,09-09-2005,14.591,7.2,2126
7847,An American Werewolf in Paris,en,29-05-1997,14.589,5.9,602
7848,All I See Is You,en,10-08-2017,14.586,5.1,538
7849,Big Jake,en,26-05-1971,14.584,6.9,189
7850,Nine Lives,en,03-08-2016,14.583,5.7,979
7851,Rally Road Racers,en,12-05-2023,14.582,7.4,9
7852,Dogtanian and the Three Muskehounds,es,25-06-2021,14.582,6.8,104
7853,Jingle Jangle: A Christmas Journey,en,06-11-2020,14.582,6.6,457
7854,Hot Bot,en,01-03-2016,14.582,4.4,186
7855,Beastly,en,21-01-2011,14.581,6.3,2626
7856,Hud,en,28-05-1963,14.578,7.3,260
7857,Every Day,en,22-02-2018,14.577,7.2,2098
7858,The Switch,en,11-05-2010,14.577,6.2,1726
7859,Friend Couples: Swapping,ko,14-02-2017,14.576,3,1
7860,Chocolat,en,22-12-2000,14.561,7,3037
7861,Bizarre,it,16-01-1987,14.558,4.7,19
7862,Memories of the Sword,ko,13-08-2015,14.556,6.6,85
7863,Pilgrimage,en,23-04-2017,14.556,5.9,253
7864,Latte and the Magic Waterstone,de,11-12-2019,14.555,6.7,96
7865,Ghosts of Mars,en,24-08-2001,14.553,5.1,963
7866,Doraemon: Nobita's New Dinosaur,ja,07-08-2020,14.552,7.4,37
7867,Sing Street,en,11-03-2016,14.552,7.9,2097
7868,Cake,en,07-09-2014,14.552,6.3,847
7869,Kill Switch,en,01-06-2017,14.551,4.8,223
7870,The Night Parade,fr,30-01-2013,14.55,6.5,4
7871,The Angel's Melancholy,de,01-05-2009,14.55,4,46
7872,Darby and the Dead,en,02-12-2022,14.549,6.1,57
7873,The Imaginarium of Doctor Parnassus,en,01-10-2009,14.549,6.4,2536
7874,The Haunted World of El Superbeasto,en,12-09-2009,14.548,6,152
7875,Zulu,en,22-01-1964,14.548,7.4,444
7876,Lone Wolf and Cub: Baby Cart in the Land of Demons,ja,11-08-1973,14.547,7.3,104
7877,Pulse,ja,03-02-2001,14.547,6.5,400
7878,Thick as Thieves,en,09-01-2009,14.547,6,710
7879,The Wishmas Tree,en,27-02-2020,14.545,6.5,70
7880,Delicious Delivery,ko,02-04-2015,14.543,5,2
7881,The Believer,en,23-08-2001,14.538,6.9,539
7882,The Great Race,en,01-07-1965,14.537,7.1,278
7883,Christiane F.,de,02-04-1981,14.536,7.3,1195
7884,Mystery Men,en,06-08-1999,14.535,5.8,743
7885,The Man with the Iron Fists 2,en,10-03-2015,14.533,5.5,228
7886,Last Man Standing,en,20-09-1996,14.533,6.3,769
7887,The Stroll,en,23-01-2023,14.53,6.7,13
7888,Funny Games,en,14-03-2008,14.528,6.6,1840
7889,Beavis and Butt-Head Do America,en,15-12-1996,14.528,6.6,599
7890,X-Deal 2,tl,25-03-2022,14.527,7.3,7
7891,Seven Psychopaths,en,12-10-2012,14.526,6.8,3566
7892,Headhunters,no,26-08-2011,14.526,7.2,1103
7893,Thinner,en,25-10-1996,14.524,5.9,530
7894,Bacurau,pt,29-08-2019,14.523,7.7,961
7895,Barely Legal,en,21-10-2005,14.52,6.1,253
7896,Let the Right One In,sv,24-10-2008,14.519,7.5,2644
7897,The Sleepover,en,21-08-2020,14.518,6.4,368
7898,Wild Strawberries,sv,26-12-1957,14.518,8.1,1456
7899,Backtrace,en,14-12-2018,14.517,5.2,198
7900,Dragons Forever,cn,11-02-1988,14.516,7.2,227
7901,Beowulf,en,01-04-1999,14.513,4.3,203
7902,Sleepwalkers,en,10-04-1992,14.512,6,465
7903,The Beguiled,en,31-03-1971,14.511,7,390
7904,The Aeronauts,en,04-11-2019,14.51,6.8,979
7905,Dhoom 3,hi,19-12-2013,14.507,6,244
7906,White Boy Rick,en,14-09-2018,14.504,6.3,955
7907,My Dinner with Andre,en,11-10-1981,14.503,7.5,310
7908,The Wedding Date,en,04-02-2005,14.503,6.8,1080
7909,Son of a Rich,ru,24-11-2019,14.5,7.1,125
7910,Taking Lives,en,19-03-2004,14.499,6.4,1424
7911,The Electrical Life of Louis Wain,en,21-10-2021,14.498,6.9,363
7912,Gangs of Wasseypur - Part 1,hi,22-06-2012,14.498,7.2,315
7913,Run Lola Run,de,03-03-1998,14.497,7.3,1971
7914,Crayon Shin-chan: Great Adventure In Henderland,ja,13-04-1996,14.494,7.3,41
7915,Macross: Do You Remember Love?,ja,21-07-1984,14.494,7.2,74
7916,eXistenZ,en,14-04-1999,14.493,6.8,1695
7917,Paint Your Wagon,en,15-10-1969,14.492,6.4,210
7918,The Jungle Bunch,fr,26-07-2017,14.491,6.4,134
7919,K-19: The Widowmaker,en,19-07-2002,14.49,6.5,872
7920,Free Birds,en,30-10-2013,14.489,5.9,710
7921,Voyeurism,ko,25-02-2016,14.488,5,2
7922,Monster High: Great Scarrier Reef,en,12-02-2016,14.488,7.7,93
7923,Too Big to Fail,en,22-05-2011,14.488,7,195
7924,The Interpreter,en,08-04-2005,14.488,6.3,1299
7925,In a Valley of Violence,en,21-10-2016,14.486,6.1,521
7926,The Vanishing,nl,27-10-1988,14.486,7.5,526
7927,The Sunlit Night,en,06-06-2020,14.482,5.4,24
7928,Spycies,fr,11-01-2020,14.482,7.5,192
7929,The Kitchen,en,08-08-2019,14.482,6.2,608
7930,Holly Slept Over,en,02-03-2020,14.479,5.5,29
7931,Tolkien,en,03-05-2019,14.479,7,1262
7932,Orgazmo,en,02-07-1998,14.478,6.2,375
7933,Kicking & Screaming,en,13-05-2005,14.476,5.8,571
7934,Robert the Bruce,en,28-06-2019,14.474,5.3,86
7935,"Monster High: Boo York, Boo York",en,19-10-2015,14.473,7.6,144
7936,The Duchess,en,05-09-2008,14.473,7,1563
7937,Yellow Submarine,en,17-07-1968,14.473,7.1,443
7938,Only Mine,en,15-01-2019,14.472,5.3,115
7939,Bilitis,fr,16-03-1977,14.471,5.4,68
7940,Bilitis,fr,16-03-1977,14.471,5.4,68
7941,World's Greatest Dad,en,20-08-2009,14.47,6.6,534
7942,A King in New York,en,12-09-1957,14.469,6.9,177
7943,The X Files: I Want to Believe,en,24-07-2008,14.469,5.7,1331
7944,All About Anna,en,24-11-2005,14.467,3.5,91
7945,Deadstream,en,20-10-2022,14.466,6.2,141
7946,Mission to Mars,en,10-03-2000,14.465,6,1267
7947,Scrooge,en,28-11-1951,14.463,7.4,257
7948,Monster Hunt 2,zh,16-02-2018,14.462,6.7,112
7949,Get Him to the Greek,en,03-06-2010,14.462,6,1598
7950,The New Adventures of Pippi Longstocking,en,06-07-1988,14.46,5.7,66
7951,Contempt,fr,29-10-1963,14.46,7.1,730
7952,Fullmetal Alchemist the Movie: Conqueror of Shamballa,ja,21-07-2005,14.458,7.2,290
7953,Collide,en,10-06-2016,14.457,5.5,531
7954,Do You Believe?,en,20-03-2015,14.456,6.5,124
7955,Friends,ta,14-01-2001,14.456,6.9,25
7956,3 Ninjas,en,07-08-1992,14.455,5.7,391
7957,Runaway Jury,en,16-01-2003,14.455,6.9,1112
7958,Sky Captain and the World of Tomorrow,en,17-09-2004,14.455,5.9,1134
7959,Detective Dee: The Four Heavenly Kings,zh,27-07-2018,14.453,6.3,165
7960,Feast,en,14-10-2005,14.453,6.2,469
7961,Bliss,en,05-02-2021,14.452,5.5,546
7962,One for the Money,en,26-01-2012,14.452,5.5,902
7963,Four Lions,en,07-05-2010,14.451,7,1013
7964,Harold and Maude,en,20-12-1971,14.45,7.6,948
7965,An Unforgettable Year – Winter,pt,15-06-2023,14.449,7,18
7966,97 Minutes,en,09-06-2023,14.448,3.7,18
7967,The Sisterhood of the Traveling Pants 2,en,06-08-2008,14.448,6.2,726
7968,Miracle on 34th Street,en,18-11-1994,14.447,6.7,903
7969,The Most Beautiful Boy in the World,sv,30-07-2021,14.445,7.5,42
7970,Sound of Metal,en,20-11-2020,14.444,7.7,2221
7971,A Wrinkle in Time,en,08-03-2018,14.443,5.1,1687
7972,Astro Kid,fr,03-04-2019,14.442,7.2,171
7973,The Crime Is Mine,fr,08-03-2023,14.44,6.7,177
7974,Explorers,en,12-07-1985,14.44,6.2,405
7975,Apostle,en,21-09-2018,14.439,6.1,1292
7976,The Great Battle,ko,19-09-2018,14.435,6.8,141
7977,The Keeper of Lost Causes,da,03-10-2013,14.435,7.1,667
7978,Fascination,fr,01-11-1979,14.434,6.2,77
7979,T2 Trainspotting,en,27-01-2017,14.433,6.9,2892
7980,Thank You for Smoking,en,09-09-2005,14.432,7.2,1932
7981,Suck Me Shakespeer,de,07-11-2013,14.431,7,1556
7982,The Love Bug,en,23-12-1968,14.429,6.5,520
7983,The Monkey King 2,zh,22-01-2016,14.427,5.9,84
7984,Burlesque,en,23-11-2010,14.427,7.2,2095
7985,A Scene at the Sea,ja,19-10-1991,14.427,7.4,145
7986,Replicant,en,11-05-2001,14.426,5.8,414
7987,"Tango, Tequila and Some Lies",es,09-03-2023,14.42,7.1,89
7988,Marriage Italian Style,it,18-12-1964,14.419,7.8,443
7989,Taxi 4,fr,10-02-2007,14.419,5.6,1112
7990,Amon Saga,ja,18-07-1986,14.418,5.8,6
7991,Meet the Blacks,en,01-04-2016,14.417,4.8,263
7992,The Little Rascals Save the Day,en,25-03-2014,14.415,6,92
7993,In Her Shoes,en,07-10-2005,14.413,6.2,1109
7994,Stir of Echoes,en,10-09-1999,14.411,6.7,1068
7995,"I Love You, Man",en,20-03-2009,14.41,6.5,1528
7996,Alice,en,18-03-2022,14.409,5.7,34
7997,Take Me Home Tonight,en,04-03-2011,14.408,6,608
7998,Little Italy,en,24-08-2018,14.406,6.7,573
7999,Family Business,en,06-12-1989,14.406,5.6,204
8000,In the Heights,en,10-06-2021,14.405,7.2,619
8001,Cleaner,en,11-09-2007,14.405,6,736
8002,Extreme Movie,en,05-12-2008,14.402,4.5,162
8003,The Servant,ko,02-06-2010,14.401,6,25
8004,Melody Makers,en,17-12-2019,14.4,3.7,3
8005,El Cid,en,24-10-1961,14.4,6.8,238
8006,Resurrection,en,05-06-1999,14.399,6.1,219
8007,Aesthetics of a Bullet,ja,10-02-1973,14.398,7,1
8008,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,en,25-10-2011,14.398,6.8,402
8009,The Last Days on Mars,en,11-08-2013,14.396,5.4,721
8010,Sea Fever,en,12-06-2020,14.394,6.2,414
8011,The Night Comes for Us,id,05-10-2018,14.394,6.8,602
8012,Schoolgirl Report Part 2: What Keeps Parents Awake at Night,de,26-08-1971,14.394,5.4,21
8013,Prayers for Bobby,en,24-01-2009,14.394,8.1,526
8014,Zorba the Greek,el,14-12-1964,14.394,7.5,304
8015,Drinking Buddies,en,23-08-2013,14.393,5.9,741
8016,"McFarland, USA",en,20-02-2015,14.391,7.4,670
8017,The Descendants,en,09-09-2011,14.389,6.8,2517
8018,Belladonna of Sadness,ja,30-06-1973,14.388,7.5,246
8019,Of an Age,en,10-02-2023,14.387,7.4,23
8020,In the Tall Grass,en,20-09-2019,14.386,5.5,1951
8021,Escape Plan: The Extractors,en,20-06-2019,14.386,5.3,740
8022,Exotica,en,30-11-1994,14.386,6.6,258
8023,Ghosts of War,en,03-07-2020,14.385,6.3,481
8024,Ratchet & Clank,en,13-04-2016,14.385,5.8,570
8025,De perdidos a Río,es,04-08-2023,14.384,7.5,2
8026,Session 9,en,10-08-2001,14.383,6.2,801
8027,Purple Rain,en,27-07-1984,14.382,6.7,322
8028,Lady Barbara,it,15-10-1970,14.38,1,1
8029,Blue Jasmine,en,01-08-2013,14.38,7,3197
8030,The Kid,en,21-01-1921,14.379,8.2,1851
8031,My Awkward Sexual Adventure,en,11-09-2012,14.378,6.9,321
8032,Frances Ha,en,17-05-2013,14.377,7.4,1389
8033,Mimic: Sentinel,en,14-04-2003,14.377,4.9,125
8034,Amityville II: The Possession,en,24-09-1982,14.376,5.7,303
8035,Double Threat,en,15-03-2023,14.374,3,1
8036,Cadaver,no,22-10-2020,14.374,5.6,558
8037,Almost Friends,en,17-11-2017,14.414,6.4,231
8038,Maya the Bee Movie,en,11-09-2014,14.374,6.2,157
8039,The Other Woman,en,28-10-2010,14.373,6.2,349
8040,Black Butterfly,en,26-05-2017,14.371,6.2,485
8041,Detective Conan: The Phantom of Baker Street,ja,20-04-2002,14.371,7.6,168
8042,The Jacket,en,04-03-2005,14.369,6.9,1340
8043,Sky Sharks,en,07-10-2020,14.368,5,72
8044,The Giver,en,13-08-2014,14.368,6.6,4211
8045,Vehicle 19,en,07-03-2013,14.368,5.3,471
8046,Hudson Hawk,en,23-05-1991,14.368,5.7,876
8047,Much Ado About Nothing,en,07-05-1993,14.367,6.9,642
8048,White Wedding,fr,08-11-1989,14.366,6.5,92
8049,Carjacked,en,22-11-2011,14.365,5.1,90
